gene_id	family
Bradi5g18961	GRF
Bradi5g19080	OVATE
Bradi5g19190	GRAS
Bradi5g19260	ABI3-VP1
Bradi5g19380	MYB / MYB-related
Bradi5g19930	C2H2
Bradi5g19950	bHLH
Bradi5g20051	MYB / MYB-related
Bradi5g20130	MYB / MYB-related
Bradi5g20340	FLO/LFY
Bradi5g20397	bHLH
Bradi5g20520	G2-like
Bradi5g20607	GRF
Bradi5g20700	WRKY
Bradi5g20847	Trihelix
Bradi5g21010	NAC
Bradi5g21620	Rcd1-like
Bradi5g21700	MADS
Bradi5g21820	CCAAT-HAP2
Bradi5g21950	bHLH
Bradi5g21983	NAC
Bradi5g22368	TRAF
Bradi5g22375	TRAF
Bradi5g22383	TRAF
Bradi5g22391	TRAF
Bradi5g22405	TRAF
Bradi5g22435	TRAF
Bradi5g22446	TRAF
Bradi5g22466	TRAF
Bradi5g22472	TRAF
Bradi5g22503	TRAF
Bradi5g22570	Homeobox
Bradi5g22730	SET
Bradi5g23210	GNAT
Bradi5g23300	NLP
Bradi5g23340	bZIP
Bradi5g23656	C2C2-GATA
Bradi5g24080	Homeobox
Bradi5g24100	AP2/ERF-AP2
Bradi5g24110	AP2/ERF-AP2
Bradi5g24380	Aux/IAA
Bradi5g24410	ZIM
Bradi5g24670	SBP
Bradi5g24700	AP2/ERF-ERF
Bradi5g24710	AP2/ERF-ERF
Bradi5g24720	AP2/ERF-ERF
Bradi5g25100	C3H
Bradi5g25113	Homeobox
Bradi5g25157	ARF
Bradi5g25310	SWI/SNF-BAF60
Bradi5g25320	G2-like
Bradi5g25340	C3H
Bradi5g25570	AP2/ERF-ERF
Bradi5g25760	C3H
Bradi5g25767	ARF
Bradi5g26110	MYB / MYB-related
Bradi5g26240	C2C2-Dof
Bradi5g26640	OVATE
Bradi5g27290	C2H2
Bradi5g27400	ARF
Bradi5g27610	SNF2
