accession,title,description
PF00756.23,Putative esterase,This family contains Esterase D P10768. However it is not clear if all members of the family have the same function. This family is related to the PF00135 family.
PF00505.22,HMG (high mobility group) box,The HMG-box (High Mobility Group box) is a protein domain which is involved in DNA binding. The structure of the HMG-box domain contains three alpha helices separated by loops.
PF04053.17,Coatomer WD associated region,This region is composed of WD40 repeats.
PF00890.27,FAD binding domain,"This family includes members that bind FAD. This family includes the flavoprotein subunits from succinate and fumarate dehydrogenase, aspartate oxidase and the alpha subunit of adenylylsulphate reductase."
PF18052.4,Rx N-terminal domain,"This entry represents the N-terminal domain found in many plant resistance proteins. This domain has been predicted to be a coiled-coil, however the structure shows that it adopts a four helical bundle fold."
PF00160.24,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,"The peptidyl-prolyl cis-trans isomerases, also known as cyclophilins, share this domain of about 109 amino acids. Cyclophilins have been found in all organisms studied so far and catalyse peptidyl-prolyl isomerisation during which the peptide bond preceding proline (the peptidyl-prolyl bond) is stabilised in the cis conformation. Mammalian cyclophilin A (CypA) is a major cellular target for the immunosuppressive drug cyclosporin A (CsA). Other roles for cyclophilins may include chaperone and cell signalling function."
PF01167.21,Tub family,"The tubby protein is an upstream cell signaling protein common to multicellular eukaryotes. The original tubby gene was identified in mice, but proteins that are homologous to tubby are known as ""tubby-like proteins"" (TULPs)"
PF00632.28,HECT-domain (ubiquitin-transferase),The name HECT comes from Homologous to the E6-AP Carboxyl Terminus.
PF01207.20,Dihydrouridine synthase (Dus),"Members of this family catalyse the reduction of the 5,6-double bond of a uridine residue on tRNA. Dihydrouridine modification of tRNA is widely observed in prokaryotes and eukaryotes, and also in some archae. Most dihydrouridines are found in the D loop of t-RNAs. The role of dihydrouridine in tRNA is currently unknown, but may increase conformational flexibility of the tRNA. It is likely that different family members have different substrate specificities, which may overlap. Dus 1 (Q9HGN6) from Saccharomyces cerevisiae acts on pre-tRNA-Phe, while Dus 2 (P53720) acts on pre-tRNA-Tyr and pre-tRNA-Leu. Dus 1 is active as a single subunit, requiring NADPH or NADH, and is stimulated by the presence of FAD. Some family members may be targeted to the mitochondria and even have a role in mitochondria."
PF01422.20,NF-X1 type zinc finger,"This domain is presumed to be a zinc binding domain. The following pattern describes the zinc finger. C-X(1-6)-H-X-C-X3-C(H/C)-X(3-4)-(H/C)-X(1-10)-C Where X can be any amino acid, and numbers in brackets indicate the number of residues. Two position can be either his or cys. This family includes P40798 Q12986 and P53971. The zinc fingers in Q12986 bind to DNA."
PF07496.18,CW-type Zinc Finger,"This domain appears to be a zinc finger. The alignment shows four conserved cysteine residues and a conserved tryptophan. It was first identified by and is predicted to be a ""highly specialised mononuclear four-cysteine zinc finger...that plays a role in DNA binding and/or promoting protein-protein interactions in complicated eukaryotic processes including...chromatin methylation status and early embryonic development."" Weak homology to PF00628 further evidences these predictions (personal obs: C Yeats). Twelve different CW-domain-containing protein subfamilies are described, with different subfamilies being characteristic of vertebrates, higher plants and other animals in which these domain is found."
PF05648.17,Peroxisomal biogenesis factor 11 (PEX11),This family consists of several peroxisomal biogenesis factor 11 (PEX11) proteins from several eukaryotic species. The PEX11 peroxisomal membrane proteins promote peroxisome division in multiple eukaryotes.
PF02229.19,Transcriptional Coactivator p15 (PC4),p15 has a bipartite structure composed of an amino-terminal regulatory domain and a carboxy-terminal cryptic DNA-binding domain. The DNA-binding activity of the carboxy-terminal is disguised by the amino-terminal p15 domain. Activity is controlled by protein kinases that target the regulatory domain.
PF18868.4,"Zinc finger C2H2-type, 3 repeats","This Pfam entry includes three instances of the Zinc finger C2H2-type. They contain a short beta hairpin and an alpha helix (beta/beta/alpha structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array."
PF02701.18,"Dof domain, zinc finger","The Dof domain is a zinc finger DNA-binding domain, that shows resemblance to the Cys2 zinc finger."
PF12313.11,NPR1/NIM1 like defence protein C terminal,This family of proteins is found in eukaryotes. Proteins in this family are typically between 251 and 588 amino acids in length. The family is found in association with PF00023 PF00651. There are two conserved sequence motifs: LENRV and DLN. NPR1 (NIM1) is a defence protein in many plant species.
PF13847.9,Methyltransferase domain,This family appears to have methyltransferase activity.
PF13621.9,Cupin-like domain,This cupin like domain shares similarity to the JmjC domain.
PF05691.15,Raffinose synthase or seed imbibition protein Sip1,"This family consists of several raffinose synthase proteins, also known as seed imbibition (Sip1) proteins. Raffinose (O-alpha- D-galactopyranosyl- (1-->6)- O-alpha- D-glucopyranosyl-(1<-->2)- O-beta- D-fructofuranoside) is a widespread oligosaccharide in plant seeds and other tissues. Raffinose synthase ( EC:2.4.1.82) is the key enzyme that channels sucrose into the raffinose oligosaccharide pathway. Raffinose family oligosaccharides (RFOs) are ubiquitous in plant seeds and are thought to play critical roles in the acquisition of tolerance to desiccation and seed longevity. Raffinose synthases are alkaline alpha-galactosidases and are solely responsible for RFO breakdown in germinating maize seeds, whereas acidic galactosidases appear to have other functions. Glycoside hydrolase family 36 can be split into 11 families, GH36A to GH36K. This family includes enzymes from GH36C."
PF04146.18,YT521-B-like domain,"A protein of the YTH family has been shown to selectively remove transcripts of meiosis-specific genes expressed in mitotic cells. It has been speculated that in higher eukaryotic YTH-family members may be involved in similar mechanisms to suppress gene regulation during gametogenesis or general silencing. The rat protein Q9QY02 YT521-B is a tyrosine-phosphorylated nuclear protein, that interacts with the nuclear transcriptosomal component scaffold attachment factor B, and the 68-kDa Src substrate associated during mitosis, Sam68. In vivo splicing assays demonstrated that YT521-B modulates alternative splice site selection in a concentration-dependent manner. The YTH domain has been identified as part of the PUA superfamily."
PF08606.14,Prp19/Pso4-like,This regions is found specifically in PRP19-like protein. The region represented by this family covers the sequence implicated in self-interaction and a coiled-coiled motif. PRP19-like proteins form an oligomer that is necessary for spliceosome assembly.
PF04770.15,ZF-HD protein dimerisation region,"This family of proteins has are plant transcription factors, and have been named ZF-HD for zinc finger homeodomain proteins, on the basis of similarity to proteins of known structure. This region is thought to be involved in the formation of homo and heterodimers, and may form a zinc finger."
PF13041.9,PPR repeat family,This repeat has no known function. It is about 35 amino acids long and is found in up to 18 copies in some proteins. The family appears to be greatly expanded in plants and fungi. The repeat has been called PPR.
PF02928.19,C5HC2 zinc finger,Predicted zinc finger with eight potential zinc ligand binding residues. This domain is found in Jumonji. This domain may have a DNA binding function.
PF00569.20,"Zinc finger, ZZ type","Zinc finger present in dystrophin, CBP/p300. ZZ in dystrophin binds calmodulin. Putative zinc finger; binding not yet shown. Four to six cysteine residues in its sequence are responsible for coordinating zinc ions, to reinforce the structure."
PF13920.9,"Zinc finger, C3HC4 type (RING finger)",
PF02146.20,Sir2 family,"This region is characteristic of Silent information regulator 2 (Sir2) proteins, or sirtuins. These are protein deacetylases that depend on nicotine adenine dinucleotide (NAD). They are found in many subcellular locations, including the nucleus, cytoplasm and mitochondria. Eukaryotic forms play in important role in the regulation of transcriptional repression. Moreover, they are involved in microtubule organisation and DNA damage repair processes.i"
PF13480.10,Acetyltransferase (GNAT) domain,This family contains proteins with N-acetyltransferase functions.
PF00365.23,Phosphofructokinase,Phosphofructokinase is the the most important regulation enzyme of glycolysis.
PF09110.14,HAND,"The HAND domain adopts a secondary structure consisting of four alpha helices, three of which (H2, H3, H4) form an L-like configuration. Helix H2 runs antiparallel to helices H3 and H4, packing closely against helix H4, whilst helix H1 reposes in the concave surface formed by these three helices and runs perpendicular to them. The domain confers DNA and nucleosome binding properties to the protein."
PF00252.21,Ribosomal protein L16p/L10e,"This entry represents a structural domain with an alpha/beta-hammerhead fold, where the beta-hammerhead motif is similar to that in barrel-sandwich hybrids. Domains of this structure can be found in ribosomal proteins L10e and L16."
PF08670.14,MEKHLA domain,"The MEKHLA domain shares similarity with the PAS domain and is found in the 3 end of plant HD-ZIP III homeobox genes, and bacterial proteins."
PF02179.19,BAG domain,Domain present in Hsp70 regulators.
PF12796.10,Ankyrin repeats (3 copies),This entry represents the ankyrin repeat-containing domain. These domains contain multiple repeats of a beta(2)-alpha(2) motif. The ankyrin repeat is one of the most common protein-protein interaction motifs in nature.
PF00439.28,Bromodomain,"Bromodomains are 110 amino acid long domains, that are found in many chromatin associated proteins. Bromodomains can interact specifically with acetylated lysine."
PF05553.14,Cotton fibre expressed protein,"This family consists of several plant proteins of unknown function. Three of the sequences (from Gossypium hirsutum) in this family are described as cotton fibre expressed proteins. The remaining sequences, found in Arabidopsis thaliana, are uncharacterised."
PF00112.26,Papain family cysteine protease,"A cathepsin is a type of protease, ie a type of protein that breaks apart other proteins. Cathepsins are present in all types of cells, from hepatocytes to neurons, and in many species including all animals."
PF03079.17,ARD/ARD family,"The two acireductone dioxygenase enzymes (ARD and ARD, previously known as E-2 and E-2) from Klebsiella pneumoniae share the same amino acid sequence Q9ZFE7 but bind different metal ions: ARD binds Ni2+, ARD binds Fe2+. ARD and ARD can be experimentally interconverted by removal of the bound metal ion and reconstitution with the appropriate metal ion. The two enzymes share the same substrate, 1,2-dihydroxy-3-keto-5-(methylthio)pentene, but yield different products. ARD yields the alpha-keto precursor of methionine (and formate), thus forming part of the ubiquitous methionine salvage pathway that converts 5-methylthioadenosine (MTA) to methionine. This pathway is responsible for the tight control of the concentration of MTA, which is a powerful inhibitor of polyamine biosynthesis and transmethylation reactions [1,2]. ARD yields methylthiopropanoate, carbon monoxide and formate, and thus prevents the conversion of MTA to methionine. The role of the ARD catalysed reaction is unclear: methylthiopropanoate is cytotoxic, and carbon monoxide can activate guanylyl cyclase, leading to increased intracellular cGMP levels [1,2]. This family also contains other members, whose functions are not well characterised."
PF18044.4,CCCH-type zinc finger,This short zinc binding domain has the pattern of three cysteines and one histidine to coordinate the zinc ion. This domain is found in a wide variety of proteins such as E3 ligases.
PF00481.24,Protein phosphatase 2C,Protein phosphatase 2C is a Mn++ or Mg++ dependent protein serine/threonine phosphatase.
PF03171.23,2OG-Fe(II) oxygenase superfamily,"This family contains members of the 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily. This family includes the C-terminal of prolyl 4-hydroxylase alpha subunit. The holoenzyme has the activity EC:1.14.11.2 catalysing the reaction: Procollagen L-proline + 2-oxoglutarate + O2 <=> procollagen trans- 4-hydroxy-L-proline + succinate + CO2. The full enzyme consists of a alpha2 beta2 complex with the alpha subunit contributing most of the parts of the active site. The family also includes lysyl hydrolases, isopenicillin synthases and AlkB."
PF02045.18,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B,"Diverse DNA binding proteins are known to bind the CCAAT box, a common cis- acting element found in the promoter and enhancer regions of a large number of genes in eukaryotes. Amongst these proteins is one known as the CCAAT-binding factor (CBF) or nuclear transcription factor Y (NF-Y)"
PF15663.8,Zinc-finger containing family,"zf-CCCH_3 family is found in eukaryotes, and is typically between 155 and 169 amino acids in length."
PF00620.30,RhoGAP domain,GTPase activator proteins towards Rho/Rac/Cdc42-like small GTPases.
PF00164.28,Ribosomal protein S12/S23,This protein is known as S12 in bacteria and archaea and S23 in eukaryotes.
PF01535.23,PPR repeat,This repeat has no known function. It is about 35 amino acids long and found in up to 18 copies in some proteins. This family appears to be greatly expanded in plants. This repeat occurs in PET309 P32522 that may be involved in RNA stabilisation. This domain occurs in crp1 that is involved in RNA processing. This repeat is associated with a predicted plant protein O49549 that has a domain organisation similar to the human BRCA1 protein. The repeat has been called PPR.
PF16529.8,"WD40 region of Ge1, enhancer of mRNA-decapping protein",Ge1_WD40 is the N-terminal region of Ge-1 or enhancer of mRNA-decapping proteins. WD40-repeat regions are involved in protein-protein interactions.
PF05669.15,SOH1,"The family consists of Saccharomyces cerevisiae SOH1 homologues. SOH1 is responsible for the repression of temperature sensitive growth of the HPR1 mutant and has been found to be a component of the RNA polymerase II transcription complex. SOH1 not only interacts with factors involved in DNA repair, but transcription as well. Thus, the SOH1 protein may serve to couple these two processes."
PF04844.16,"Transcriptional repressor, ovate","This is a family of transcriptional repressors. In plants, these proteins are important regulators of growth and development [1,2]."
PF02840.18,Prp18 domain,"The splicing factor Prp18 is required for the second step of pre-mRNA splicing. The structure of a large fragment of the Saccharomyces cerevisiae Prp18 is known. This fragment is fully active in yeast splicing in vitro and includes the sequences of Prp18 that have been evolutionarily conserved. The core structure consists of five alpha-helices that adopt a novel fold. The most highly conserved region of Prp18, a nearly invariant stretch of 19 aa, forms part of a loop between two alpha-helices and may interact with the U5 small nuclear ribonucleoprotein particles."
PF00536.33,SAM domain (Sterile alpha motif),It has been suggested that SAM is an evolutionarily conserved protein binding domain that is involved in the regulation of numerous developmental processes in diverse eukaryotes. The SAM domain can potentially function as a protein interaction module through its ability to homo- and heterooligomerise with other SAM domains.
PF04756.16,"OST3 / OST6 family, transporter family","The proteins in this family are part of a complex of eight ER proteins that transfers core oligosaccharide from dolichol carrier to Asn-X-Ser/Thr motifs. This family includes both OST3 and OST6, each of which contains four predicted transmembrane helices. Disruption of OST3 and OST6 leads to a defect in the assembly of the complex. Hence, the function of these genes seems to be essential for recruiting a fully active complex necessary for efficient N-glycosylation. These proteins are also thought to be novel Mg2+ transporters."
PF12972.10,Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain,"Alpha-N-acetylglucosaminidase, a lysosomal enzyme required for the stepwise degradation of heparan sulfate. Mutations on the alpha-N-acetylglucosaminidase (NAGLU) gene can lead to Mucopolysaccharidosis type IIIB (MPS IIIB; or Sanfilippo syndrome type B) characterised by neurological dysfunction but relatively mild somatic manifestations. The structure shows that the enzyme is composed of three domains. This C-terminal domain has an all alpha helical fold."
PF13673.10,Acetyltransferase (GNAT) domain,This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.
PF08154.15,NLE (NUC135) domain,This domain is located N terminal to WD40 repeats. It is found in the microtubule-associated protein Q12024.
PF05965.17,F/Y rich C-terminus,This region is normally found in the trithorax/ALL1 family proteins. It is similar to SM00542.
PF01479.28,S4 domain,"The S4 domain is a small domain consisting of 60-65 amino acid residues that was detected in the bacterial ribosomal protein S4, eukaryotic ribosomal S9, two families of pseudouridine synthases, a novel family of predicted RNA methylases, a yeast protein containing a pseudouridine synthetase and a deaminase domain, bacterial tyrosyl-tRNA synthetases, and a number of uncharacterized, small proteins that may be involved in translation regulation. The S4 domain probably mediates binding to RNA."
PF12274.11,Protein of unknown function (DUF3615),"This domain family is found in bacteria and eukaryotes, and is typically between 86 and 97 amino acids in length. There is a conserved FAE sequence motif. There is a single completely conserved residue F that may be functionally important."
PF13508.10,Acetyltransferase (GNAT) domain,This domain catalyses N-acetyltransferase reactions.
PF03881.17,Fructosamine kinase,This family includes eukaryotic fructosamine-3-kinase enzymes. The family also includes bacterial members that have not been characterised but probably have a similar or identical function.
PF01373.20,Glycosyl hydrolase family 14,This family are beta amylases.
PF13672.9,Protein phosphatase 2C,Protein phosphatase 2C is a Mn++ or Mg++ dependent protein serine/threonine phosphatase.
PF00023.33,Ankyrin repeat,"Ankyrins are multifunctional adaptors that link specific proteins to the membrane-associated, spectrin- actin cytoskeleton. This repeat-domain is a membrane-binding domain of up to 24 repeated units, and it mediates most of the proteins binding activities. Repeats 13-24 are especially active, with known sites of interaction for the Na/K ATPase, Cl/HCO(3) anion exchanger, voltage-gated sodium channel, clathrin heavy chain and L1 family cell adhesion molecules. The ANK repeats are found to form a contiguous spiral stack such that ion transporters like the anion exchanger associate in a large central cavity formed by the ANK repeat spiral, while clathrin and cell adhesion molecules associate with specific regions outside this cavity."
PF04547.15,Calcium-activated chloride channel,"The family carries eight putative transmembrane domains, and, although it has no similarity to other known channel proteins, it is clearly a calcium-activated ionic channel. It is expressed in various secretory epithelia, the retina and sensory neurons, and mediates receptor-activated chloride currents in diverse physiological processes."
PF01833.27,IPT/TIG domain,This family consists of a domain that has an immunoglobulin like fold. These domains are found in cell surface receptors such as Met and Ron as well as in intracellular transcription factors where it is involved in DNA binding. CAUTION: This family does not currently recognise a significant number of members.
PF07707.18,BTB And C-terminal Kelch,"This domain is found associated with PF00651 and PF01344. The BACK domain is found juxtaposed to the BTB domain; they are separated by as little as two residues. This family appears to be closely related to the BTB domain (Finn RD, personal observation)."
PF02519.17,Auxin responsive protein,This family consists of the protein products of the ARG7 auxin responsive genes family none of which have any identified functional role.
PF03791.16,KNOX2 domain,"The MEINOX region is comprised of two domains, KNOX1 and KNOX2. KNOX1 plays a role in suppressing target gene expression. KNOX2, essential for function, is thought to be necessary for homo-dimerisation."
PF02542.19,YgbB family,The ygbB protein is a putative enzyme of deoxy-xylulose pathway (terpenoid biosynthesis).
PF13831.9,PHD-finger,PHD folds into an interleaved type of Zn-finger chelating 2 Zn ions in a similar manner to that of the RING and FYVE domains. Several PHD fingers have been identified as binding modules of methylated histone H3.
PF03416.22,Peptidase family C54,"This is a group of cysteine peptidases which constitute MEROPS peptidase family C54 (Aut2 peptidase family, clan CA), which are a group of proteins of unknown function."
PF07899.14,Frigida-like protein,This family is composed of plant proteins that are similar to FRIGIDA protein expressed by Arabidopsis thaliana (Q9FDW0). This protein is probably nuclear and is required for the regulation of flowering time in the late-flowering phenotype. It is known to increase RNA levels of flowering locus C. Allelic variation at the FRIGIDA locus is a major determinant of natural variation in flowering time.
PF00307.34,Calponin homology (CH) domain,"The CH domain is found in both cytoskeletal proteins and signal transduction proteins. The CH domain is involved in actin binding in some members of the family. However in calponins there is evidence that the CH domain is not involved in its actin binding activity. Most member proteins have from two to four copies of the CH domain, however some proteins such as calponin and P15498 have only a single copy."
PF10537.12,ATP-utilising chromatin assembly and remodelling N-terminal,"ACF (for ATP-utilising chromatin assembly and remodelling factor) is a chromatin-remodelling complex that catalyses the ATP-dependent assembly of periodic nucleosome arrays. The WAC (WSTF/Acf1/cbp146) domain is an approximately 110-residue module present at the N-termini of Acf1-related proteins in a variety of organisms. The DNA-binding region of Acf1 includes the WAC domain, which is necessary for the efficient binding of ACF complex to DNA."
PF02671.24,Paired amphipathic helix repeat,"This family contains the paired amphipathic helix repeat. The family contains the yeast SIN3 gene P22579 (also known as SDI1) that is a negative regulator of the yeast HO gene. This repeat may be distantly related to the helix-loop-helix motif, which mediate protein-protein interactions."
PF08295.15,Sin3 family co-repressor,This domain is found on transcriptional regulators. It forms interactions with histone deacetylases.
PF01585.26,G-patch domain,"This domain is found in a number of RNA binding proteins, and is also found in proteins that contain RNA binding domains. This suggests that this domain may have an RNA binding function. This domain has seven highly conserved glycines."
PF02150.19,RNA polymerases M/15 Kd subunit,"DNA-directed RNA polymerases EC (also known as DNA-dependent RNA polymerases) are responsible for the polymerisation of ribonucleotides into a sequence complementary to the template DNA. In eukaryotes, there are three different forms of DNA-directed RNA polymerases transcribing different sets of genes."
PF14533.9,Ubiquitin-specific protease C-terminal,This C-terminal domain on many long ubiquitin-specific proteases has no known function.
PF01448.27,ELM2 domain,"The ELM2 (Egl-27 and MTA1 homology 2) domain is a small domain of unknown function. It is found in the MTA1 protein that is part of the NuRD complex. The domain is usually found to the N terminus of a myb-like DNA binding domain PF00249. ELM2 is also found associated with an ARID DNA binding domain PF01388 in O82364. This suggests that ELM2 may also be involved in DNA binding, or perhaps is a protein-protein interaction domain."
PF00564.27,PB1 domain,"Ponting CP; , Protein Sci 1996;5:2353-2357.: Novel domains in NADPH oxidase subunits, sorting nexins, and PtdIns 3-kinases: binding partners of SH3 domains? PUBMED:8931154 EPMC:8931154"
PF04504.17,"Protein of unknown function, DUF573",A Domain of unknown function (DUF) is a protein domain that has no characterised function.
PF02182.20,SAD/SRA domain,"The domain goes by several names including SAD SRA and YDG. It adopts a beta barrel, modified PUA-like, fold that is widely present in eukaryotic chromatin proteins and in bacteria. Versions of this domain are known to bind hemi-methylated CpG dinucleotides and also other 5mC containing dinucleotides. The domain binds DNA by flipping out the methylated cytosine base from the DNA double helix.The conserved tyrosine and aspartate residues and a glycine rich patch are critical for recognition of the flipped out base. Mammalian UHRF1 that contains this domain plays an important role in maintenance of methylation at CpG dinucleotides by recruiting DNMT1 to hemimethylated sites associated with replication forks. The SAD/SRA domain has been combined with other domains involved in the ubiquitin pathway on multiple occasions and such proteins link recognition of DNA methylation to chromatin-protein ubiquitination. The domain is also found in species that lack DNA methylation, such as certain apicomplexans, suggestive of other DNA-binding modes or functions. A highly derived and distinct version of the domain is also found in fungi where it is fused to AlkB-type 2OGFeDO domains. In bacteria, the domain is usually fused or associated with restriction endonucleases, many of which target methylated or hemi-methylated DNA."
PF00249.34,Myb-like DNA-binding domain,"This family contains the DNA binding domains from Myb proteins, as well as the SANT domain family."
PF00637.23,Region in Clathrin and VPS,Each region is about 140 amino acids long. The regions are composed of multiple alpha helical repeats. They occur in the arm region of the Clathrin heavy chain.
PF12537.11,The Golgi pH Regulator (GPHR) Family N-terminal,"GPHR_N is the N-terminal 5TM region of the Golgi pH regulator proteins in eukaryotes. It plays vital roles in the transport of newly synthesized proteins from the Golgi to the plasma membrane, in the glycosylation of proteins along the exocytic pathway and the structural organisation of the Golgi apparatus [1,2,3]."
PF12816.10,Golgi CORVET complex core vacuolar protein 8,"Vps8 is one of the Golgi complex components necessary for vacuolar sorting. Eukaryotic cells contain a highly dynamic endo-membrane system, in which individual organelles keep their identity despite continuous vesicle generation and fusion. Vesicles that bud from a donor membrane are targeted and delivered to each individual organelle, where they release their cargo after fusion with the acceptor membrane. Vps8 is the core component of the endosomal tethering complex CORVET (class C core vacuole/endosome tethering). Vps8 co-operates with Vps21-GTP to mediate endosomal clustering in a reaction that is dependent on Vps3. Vps8 is the only CORVET subunit that is enriched on late endosomes, suggesting that it is a marker for the maturation of late endosomes. Late endosomes form intralumenal vesicles, and the resulting multivesicular bodies fuse with the vacuole to release their cargoes."
PF04187.16,"Haem-binding uptake, Tiki superfamily, ChaN","This is a family of putative bacterial lipoproteins necessary for the uptake of haem-iron. The structure of UniProtKB:Q0PBW2 PDB:2g5g comprises a large parallel beta-sheet with flanking alpha-helices and a smaller domain consisting of alpha-helices. Two cofacial haem groups (~3.5 Angstom apart with an inter-iron distance of 4.4 Angstrom) bind in a pocket formed by a dimer of two ChaN monomers [1,2]."
PF06454.14,THH1/TOM1/TOM3 domain,"This domain is found in plant proteins including THH1/TOM1/TOM3 from Arabidopsis. TOM1 and TOM3 are transmembrane proteins necessary for the efficient multiplication of tobamoviruses. THH1 supports tobamovirus multiplication, but to a lesser extent than TOM1 and TOM3. Members containing this domain are part of the GPCR superfamily and involved in stress tolerance [3,4]."
PF03030.19,Inorganic H+ pyrophosphatase,"The H+ pyrophosphatase is an transmembrane proton pump involved in establishing the H+ electrochemical potential difference between the vacuole lumen and the cell cytosol. Vacuolar-type H(+)-translocating inorganic pyrophosphatases have long been considered to be restricted to plants and to a few species of photo-trophic bacteria. However, in recent investigations, these pyrophosphatases have been found in organisms as disparate as thermophilic Archaea and parasitic protists."
PF00169.32,PH domain,PH stands for pleckstrin homology.
PF11496.11,Class II histone deacetylase complex subunits 2 and 3,"This family of class II histone deacetylase complex subunits HDA2 and HDA3 is found in fungi, The member from S. pombe is referred to as Ccq1 in Q10432. These proteins associate with HDA1 to generate the activity of the HDA1 histone deacetylase complex. HDA1 interacts with itself and with the HDA2-HDA3 subcomplex to form a probable tetramer and these interactions are necessary for catalytic activity. The HDA1 histone deacetylase complex is responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. HDA2 and HDA3 have a conserved coiled-coil domain towards their C-terminus."
PF16050.8,Paf1 complex subunit CDC73 N-terminal,"CDC73_N is the N-terminal region of the members of CDC73_C, PF05179. CDC73 forms part of the Paf1 post-initiation complex. The exact function within the complex is not known."
PF01857.23,Retinoblastoma-associated protein B domain,"The crystal structure of the Rb pocket bound to a nine-residue E7 peptide containing the LxCxE motif, shared by other Rb-binding viral and cellular proteins, shows that the LxCxE peptide binds a highly conserved groove on the B domain. The B domain has a cyclin fold."
PF00856.31,SET domain,"SET domains are protein lysine methyltransferase enzymes. SET domains appear to be protein-protein interaction domains. It has been demonstrated that SET domains mediate interactions with a family of proteins that display similarity with dual-specificity phosphatases (dsPTPases). A subset of SET domains have been called PR domains. These domains are divergent in sequence from other SET domains, but also appear to mediate protein-protein interaction. The SET domain consists of two regions known as SET-N and SET-C. SET-C forms an unusual and conserved knot-like structure of probably functional importance. Additionally to SET-N and SET-C, an insert region (SET-I) and flanking regions of high structural variability form part of the overall structure."
PF15612.9,"WSTF, HB1, Itc1p, MBD9 motif 1","A conserved alpha helical motif that along with the WHIM2 and WHIM3 motifs, and the DDT domain comprise an alpha helical module found in diverse eukaryotic chromatin proteins.Based on the Ioc3 structure, this module is inferred to interact with nucleosomal linker DNA and the SLIDE domain of ISWI proteins. The resulting complex forms a protein ruler that measures out the spacing between two adjacent nucleosomes. The conserved basic residue in WHIM1 is involved in packing with the DDT motif. The module shows a great domain architectural diversity and is often combined with other modified histone peptide recognising and DNA binding domains, some of which discriminate methylated DNA."
PF03514.17,GRAS domain family,"Proteins in the GRAS (GAI, RGA, SCR) family are known as major players in gibberellin (GA) signaling, which regulates various aspects of plant growth and development. Mutation of the SCARECROW (SCR) gene results in a radial pattern defect, loss of a ground tissue layer, in the root. The PAT1 protein is involved in phytochrome A signal transduction. A sequence, structure and evolutionary analysis showed that the GRAS family emerged in bacteria and belongs to the Rossmann-fold, AdoMET (SAM)-dependent methyltransferase superfamily. All bacterial, and a subset of plant GRAS proteins, are predicted to be active and function as small-molecule methylases. Several plant GRAS proteins lack one or more AdoMet (SAM)-binding residues while preserving their substrate-binding residues. Although GRAS proteins are implicated to function as transcriptional factors, the above analysis suggests that they instead might either modify or bind small molecules."
PF11698.11,V-ATPase subunit H,The yeast Saccharomyces cerevisiae vacuolar H+-ATPase (V-ATPase) is a multisubunit complex responsible for acidifying organelles. It functions as an ATP dependent proton pump that transports protons across a lipid bilayer. This domain corresponds to the C terminal domain of the H subunit of V-ATPase. The N-terminal domain is required for the activation of the complex whereas the C-terminal domain is required for coupling ATP hydrolysis to proton translocation.
PF00226.34,DnaJ domain,"DnaJ domains (J-domains) are associated with hsp70 heat-shock system and it is thought that this domain mediates the interaction. DnaJ-domain is therefore part of a chaperone (protein folding) system. The T-antigens, although not in Prosite are confirmed as DnaJ containing domains from literature."
PF14383.9,DUF761-associated sequence motif,"This family is found frequently at the N-terminus of family DUF3741, PF12552."
PF00231.22,ATP synthase,"Abrahams JP, Leslie AG, Lutter R, Walker JE; , Nature 1994;370:621-628.: Structure at 2.8 A resolution of F1-ATPase from bovine heart mitochondria. PUBMED:8065448 EPMC:8065448"
PF02319.23,E2F/DP family winged-helix DNA-binding domain,"This family contains the transcription factor E2F and its dimerisation partners TDP1 and TDP2, which stimulate E2F-dependent transcription. E2F binds to DNA as a homodimer or as a heterodimer in association with TDP1/2, the heterodimer having increased binding efficiency. The crystal structure of an E2F4-DP2-DNA complex shows that the DNA-binding domains of the E2F and DP proteins both have a fold related to the winged-helix DNA-binding motif. Recognition of the central c/gGCGCg/c sequence of the consensus DNA-binding site is symmetric, and amino acids that contact these bases are conserved among all known E2F and DP proteins."
PF00330.23,Aconitase family (aconitate hydratase),"Aconitase (aconitate hydratase; EC 4.2.1.3) catalyses the stereo-specific isomerisation of citrate to isocitrate via cis-aconitate in the tricarboxylic acid cycle, a non-redox-active process."
PF03195.17,Lateral organ boundaries (LOB) domain,"The lateral organ boundaries (LOB) gene encodes a plant-specific protein of unknown function that is expressed at the adaxial base of initiating lateral organs. The N-terminal of the LOB protein contains an approximately 100-amino acid conserved domain (the LOB domain) that is present in 42 other Arabidopsis thaliana proteins as well as in proteins from a variety of other plant species. The LOB domain contains conserved blocks of amino acids that identify the LOB domain (LBD) gene family. In particular, a conserved C-x(2)-C-x(6)-C-x(3)-C motif, which is the defining feature of the LOB domain, is present in all LBD proteins."
